Item ID,Start Date,End Date
PBI-001,2023-11-10,2023-11-19
PBI-002,2023-09-23,2023-10-10
PBI-003,2023-06-28,2023-07-19
PBI-004,2023-03-29,2023-04-15
PBI-005,2023-01-20,2023-02-16
PBI-006,2023-01-26,2023-02-07
PBI-007,2023-11-24,2023-12-22
PBI-008,2023-10-20,2023-11-11
PBI-009,2023-02-28,2023-03-16
PBI-010,2023-07-14,2023-07-23
PBI-011,2023-05-27,2023-06-11
PBI-012,2023-12-30,2024-01-14
PBI-013,2023-05-25,2023-06-14
PBI-014,2023-12-08,2023-12-18
PBI-015,2023-11-23,2023-12-10
PBI-016,2023-07-21,2023-08-06
PBI-017,2023-05-09,2023-05-12
PBI-018,2023-10-26,2023-11-05
PBI-019,2023-05-31,2023-06-04
PBI-020,2023-01-12,2023-01-24
PBI-021,2023-09-27,2023-10-27
PBI-022,2023-03-26,2023-04-19
PBI-023,2023-10-12,2023-10-14
PBI-024,2023-08-08,2023-08-09
PBI-025,2023-04-27,2023-05-23
PBI-026,2023-07-31,2023-08-27
PBI-027,2023-03-11,2023-04-08
PBI-028,2023-08-13,2023-09-06
PBI-029,2023-05-01,2023-05-18
PBI-030,2023-06-30,2023-07-15
PBI-031,2023-12-20,2023-12-24
PBI-032,2023-01-01,2023-01-30
PBI-033,2023-04-29,2023-05-05
PBI-034,2023-10-25,2023-10-26
PBI-035,2023-09-14,2023-09-16
PBI-036,2023-10-04,2023-10-24
PBI-037,2023-07-07,2023-07-21
PBI-038,2023-02-15,2023-02-22
PBI-039,2023-12-01,2023-12-10
PBI-040,2023-06-27,2023-07-03
PBI-041,2023-01-23,2023-02-08
PBI-042,2023-10-13,2023-10-15
PBI-043,2023-02-17,2023-02-25
PBI-044,2023-12-18,2023-12-30
PBI-045,2023-09-16,2023-10-02
PBI-046,2023-06-11,2023-06-15
PBI-047,2023-05-02,2023-05-17
PBI-048,2023-01-21,2023-01-30
PBI-049,2023-09-08,2023-10-05
PBI-050,2023-07-14,2023-08-04
